"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"68927099999","2020-01-01","-34.3666666","21.3833333","103.0","STILBAAI, SF","  69.4"," 5","  62.4"," 5","1015.4"," 5","003.4"," 5","999.9"," 0","  7.6"," 5"," 14.0","999.9","  83.7"," ","  56.7"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-02","-34.3666666","21.3833333","103.0","STILBAAI, SF","  71.4"," 8","  64.1"," 8","1014.7"," 8","002.7"," 8","999.9"," 0","  5.0"," 8","  9.9","999.9","  83.7"," ","  65.5"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-03","-34.3666666","21.3833333","103.0","STILBAAI, SF","  71.1"," 8","  65.0"," 8","1015.5"," 8","003.6"," 8","999.9"," 0","  5.0"," 8","  8.9","999.9","  82.0"," ","  64.9"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-04","-34.3666666","21.3833333","103.0","STILBAAI, SF","  74.1"," 8","  65.7"," 8","1011.3"," 8","999.4"," 8","999.9"," 0","  6.4"," 8"," 12.0","999.9","  87.4"," ","  64.0"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-05","-34.3666666","21.3833333","103.0","STILBAAI, SF","  68.2"," 8","  58.9"," 8","1012.1"," 8","000.1"," 8","999.9"," 0","  6.8"," 8"," 12.0","999.9","  87.4"," ","  59.7"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-06","-34.3666666","21.3833333","103.0","STILBAAI, SF","  66.8"," 8","  58.7"," 8","1013.9"," 8","001.9"," 8","999.9"," 0","  5.3"," 8","  7.0","999.9","  77.0"," ","  63.7"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-07","-34.3666666","21.3833333","103.0","STILBAAI, SF","  69.0"," 8","  64.1"," 8","1010.4"," 8","998.4"," 8","999.9"," 0","  7.1"," 8"," 13.0","999.9","  79.7"," ","  64.6"," "," 0.04","E","999.9","000000"
"68927099999","2020-01-08","-34.3666666","21.3833333","103.0","STILBAAI, SF","  73.8"," 8","  63.7"," 8","1007.2"," 8","995.4"," 8","999.9"," 0"," 11.1"," 8"," 18.1","999.9","  92.5"," ","  64.8"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-09","-34.3666666","21.3833333","103.0","STILBAAI, SF","  72.0"," 5","  57.7"," 5","1014.2"," 5","002.2"," 5","999.9"," 0"," 10.2"," 5"," 13.0","999.9","  92.5"," ","  66.0"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-15","-34.3666666","21.3833333","103.0","STILBAAI, SF","  77.6"," 8","  71.2"," 8","1014.7"," 8","002.8"," 8","999.9"," 0","  7.4"," 8"," 12.0","999.9","  89.8"," ","  70.9"," "," 0.03","G","999.9","000000"
"68927099999","2020-01-16","-34.3666666","21.3833333","103.0","STILBAAI, SF","  77.5"," 8","  71.7"," 8","1013.6"," 8","001.8"," 8","999.9"," 0","  7.6"," 8"," 11.1","999.9","  92.3"," ","  72.5"," "," 0.00","G","999.9","000000"
"68927099999","2020-01-17","-34.3666666","21.3833333","103.0","STILBAAI, SF","  69.4"," 7","  67.1"," 7","1014.5"," 7","002.5"," 7","999.9"," 0","  8.6"," 7"," 12.0","999.9","  92.3"," ","  63.0"," "," 0.16","E","999.9","000000"
"68927099999","2020-01-18","-34.3666666","21.3833333","103.0","STILBAAI, SF","  61.8"," 8","  58.4"," 8","1016.3"," 8","004.1"," 8","999.9"," 0"," 10.1"," 8"," 13.0","999.9","  78.4"," ","  59.4"," "," 0.20","E","999.9","000000"
"68927099999","2020-01-19","-34.3666666","21.3833333","103.0","STILBAAI, SF","  61.1"," 8","  59.9"," 8","1016.4"," 8","004.1"," 8","999.9"," 0"," 13.3"," 8"," 19.0","999.9","  64.0"," ","  57.0"," "," 0.55","G","999.9","000000"
"68927099999","2020-01-20","-34.3666666","21.3833333","103.0","STILBAAI, SF","  61.9"," 8","  60.5"," 8","1017.0"," 8","004.8"," 8","999.9"," 0"," 11.0"," 8"," 15.9","999.9","  64.2"," ","  60.6"," "," 0.75","G","999.9","000000"
"68927099999","2020-01-21","-34.3666666","21.3833333","103.0","STILBAAI, SF","  62.7"," 8","  62.3"," 8","1016.5"," 8","004.3"," 8","999.9"," 0","  8.5"," 8"," 12.0","999.9","  64.4"," ","  61.2"," "," 0.31","G","999.9","000000"
"68927099999","2020-01-22","-34.3666666","21.3833333","103.0","STILBAAI, SF","  62.1"," 8","  61.5"," 8","1016.2"," 8","004.0"," 8","999.9"," 0","  6.5"," 8","  8.9","999.9","  66.0"," ","  57.6"," "," 0.12","G","999.9","000000"
"68927099999","2020-01-23","-34.3666666","21.3833333","103.0","STILBAAI, SF","  65.7"," 8","  60.9"," 8","1016.5"," 8","004.3"," 8","999.9"," 0","  8.1"," 8"," 14.0","999.9","  75.2"," ","  55.6"," "," 0.35","G","999.9","000000"
"68927099999","2020-01-24","-34.3666666","21.3833333","103.0","STILBAAI, SF","  70.7"," 8","  63.7"," 8","1011.6"," 8","999.6"," 8","999.9"," 0","  4.2"," 8","  8.0","999.9","  81.0"," ","  59.2"," "," 0.00","G","999.9","000000"
"68927099999","2020-01-25","-34.3666666","21.3833333","103.0","STILBAAI, SF","  71.7"," 8","  65.5"," 8","1008.5"," 8","996.6"," 8","999.9"," 0","  7.9"," 8"," 15.0","999.9","  84.6"," ","  66.6"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-26","-34.3666666","21.3833333","103.0","STILBAAI, SF","  64.6"," 8","  52.9"," 8","1015.4"," 8","003.3"," 8","999.9"," 0"," 10.6"," 8"," 17.1","999.9","  84.6"," ","  58.6"," "," 0.12","E","999.9","000000"
"68927099999","2020-01-27","-34.3666666","21.3833333","103.0","STILBAAI, SF","  63.7"," 8","  53.0"," 8","1021.7"," 8","009.5"," 8","999.9"," 0","  6.6"," 8","  8.9","999.9","  76.8"," ","  54.0"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-28","-34.3666666","21.3833333","103.0","STILBAAI, SF","  67.3"," 8","  57.6"," 8","1015.6"," 8","003.5"," 8","999.9"," 0","  7.7"," 8"," 14.0","999.9","  79.3"," ","  53.6"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-29","-34.3666666","21.3833333","103.0","STILBAAI, SF","  68.0"," 7","  60.8"," 7","1018.6"," 7","006.5"," 7","999.9"," 0","  7.0"," 7","  8.9","999.9","  79.3"," ","  63.5"," "," 0.02","E","999.9","000000"
"68927099999","2020-01-30","-34.3666666","21.3833333","103.0","STILBAAI, SF","  69.8"," 7","  61.1"," 7","1016.2"," 7","004.2"," 7","999.9"," 0"," 10.9"," 7"," 17.1","999.9","  78.6"," ","  54.5"," "," 0.00","I","999.9","000000"
"68927099999","2020-01-31","-34.3666666","21.3833333","103.0","STILBAAI, SF","  68.4"," 8","  64.1"," 8","1014.5"," 8","002.4"," 8","999.9"," 0","  5.8"," 8"," 11.1","999.9","  78.6"," ","  62.2"," "," 0.00","I","999.9","000000"
"68927099999","2020-02-01","-34.3666666","21.3833333","103.0","STILBAAI, SF","  71.4"," 7","  65.9"," 7","1016.3"," 7","004.3"," 7","999.9"," 0","  6.7"," 7"," 12.0","999.9","  83.1"," ","  63.1"," "," 0.00","I","999.9","000000"
"68927099999","2020-02-02","-34.3666666","21.3833333","103.0","STILBAAI, SF","  72.4"," 6","  69.0"," 6","1013.6"," 6","001.7"," 6","999.9"," 0","  5.8"," 6","  8.9","999.9","  83.1"," ","  68.2"," "," 0.04","G","999.9","000000"
"68927099999","2020-02-03","-34.3666666","21.3833333","103.0","STILBAAI, SF","  75.3"," 5","  71.0"," 5","1013.6"," 5","001.7"," 5","999.9"," 0","  5.2"," 5","  8.0","999.9","  89.1"," ","  65.8"," "," 0.24","G","999.9","000000"
"68927099999","2020-02-04","-34.3666666","21.3833333","103.0","STILBAAI, SF","  79.6"," 5","  72.9"," 5","1009.4"," 5","997.7"," 5","999.9"," 0","  6.8"," 5","  9.9","999.9","  89.1"," ","  71.6"," "," 0.01","G","999.9","000000"
"68927099999","2020-02-05","-34.3666666","21.3833333","103.0","STILBAAI, SF","  71.9"," 6","  63.4"," 6","1011.0"," 6","999.1"," 6","999.9"," 0","  9.7"," 6"," 19.0","999.9","  88.9"," ","  65.7"," "," 0.00","G","999.9","000000"
"68927099999","2020-02-06","-34.3666666","21.3833333","103.0","STILBAAI, SF","  64.1"," 5","  60.9"," 5","1017.8"," 5","005.6"," 5","999.9"," 0","  6.2"," 5"," 11.1","999.9","  80.6"," ","  60.3"," "," 0.03","A","999.9","000000"
"68927099999","2020-02-09","-34.3666666","21.3833333","103.0","STILBAAI, SF","  70.1"," 4","  66.8"," 4","1016.7"," 4","004.7"," 4","999.9"," 0","  6.8"," 4","  8.9","999.9","  79.3"," ","  66.0"," "," 0.02","G","999.9","000000"
"68927099999","2020-02-12","-34.3666666","21.3833333","103.0","STILBAAI, SF","  72.4"," 8","  66.0"," 8","1012.3"," 8","000.4"," 8","999.9"," 0","  7.9"," 8","  9.9","999.9","  83.5"," ","  66.0"," "," 0.00","I","999.9","000000"
"68927099999","2020-02-13","-34.3666666","21.3833333","103.0","STILBAAI, SF","  71.0"," 8","  65.6"," 8","1011.3"," 8","999.4"," 8","999.9"," 0","  7.0"," 8"," 13.0","999.9","  83.5"," ","  65.7"," "," 0.00","I","999.9","000000"
"68927099999","2020-02-14","-34.3666666","21.3833333","103.0","STILBAAI, SF","  70.4"," 8","  63.5"," 8","1012.8"," 8","000.9"," 8","999.9"," 0","  6.0"," 8","  9.9","999.9","  84.4"," ","  62.1"," "," 0.00","I","999.9","000000"
"68927099999","2020-02-15","-34.3666666","21.3833333","103.0","STILBAAI, SF","  72.4"," 8","  64.6"," 8","1012.1"," 8","000.2"," 8","999.9"," 0","  6.2"," 8"," 11.1","999.9","  84.9"," ","  58.8"," "," 0.00","I","999.9","000000"
"68927099999","2020-02-16","-34.3666666","21.3833333","103.0","STILBAAI, SF","  78.3"," 8","  64.1"," 8","1006.9"," 8","995.1"," 8","999.9"," 0","  6.8"," 8"," 12.0","999.9"," 101.3"," ","  66.4"," "," 0.00","I","999.9","000000"
"68927099999","2020-02-17","-34.3666666","21.3833333","103.0","STILBAAI, SF","  67.2"," 8","  60.6"," 8","1017.3"," 8","005.2"," 8","999.9"," 0","  6.0"," 8","  9.9","999.9","  76.1","*","  60.4"," "," 0.12","E","999.9","000000"
"68927099999","2020-02-18","-34.3666666","21.3833333","103.0","STILBAAI, SF","  66.9"," 8","  64.1"," 8","1019.0"," 8","006.8"," 8","999.9"," 0"," 11.4"," 8"," 15.0","999.9","  76.1"," ","  60.4"," "," 0.00","I","999.9","000000"
"68927099999","2020-02-19","-34.3666666","21.3833333","103.0","STILBAAI, SF","  71.1"," 8","  64.9"," 8","1012.2"," 8","000.3"," 8","999.9"," 0","  6.6"," 8"," 13.0","999.9","  83.3"," ","  64.8"," "," 0.00","I","999.9","000000"
"68927099999","2020-02-20","-34.3666666","21.3833333","103.0","STILBAAI, SF","  69.5"," 8","  65.7"," 8","1013.3"," 8","001.3"," 8","999.9"," 0","  6.6"," 8","  9.9","999.9","  83.3"," ","  65.8"," "," 0.03","G","999.9","000000"
"68927099999","2020-02-21","-34.3666666","21.3833333","103.0","STILBAAI, SF","  70.7"," 8","  62.4"," 8","1012.9"," 8","000.9"," 8","999.9"," 0","  4.5"," 8","  8.0","999.9","  83.5"," ","  56.5"," "," 0.04","G","999.9","000000"
"68927099999","2020-02-22","-34.3666666","21.3833333","103.0","STILBAAI, SF","  68.8"," 7","  62.1"," 7","1014.3"," 7","002.3"," 7","999.9"," 0","  9.7"," 7"," 15.9","999.9","  83.5"," ","  61.5"," "," 0.00","G","999.9","000000"
"68927099999","2020-02-23","-34.3666666","21.3833333","103.0","STILBAAI, SF","  66.3"," 8","  54.6"," 8","1024.2"," 8","012.0"," 8","999.9"," 0","  8.9"," 8"," 14.0","999.9","  80.4"," ","  57.0"," "," 0.12","G","999.9","000000"
"68927099999","2020-02-24","-34.3666666","21.3833333","103.0","STILBAAI, SF","  65.5"," 8","  57.3"," 8","1020.8"," 8","008.6"," 8","999.9"," 0","  9.3"," 8"," 15.0","999.9","  77.9"," ","  55.6"," "," 0.00","G","999.9","000000"
"68927099999","2020-02-25","-34.3666666","21.3833333","103.0","STILBAAI, SF","  71.4"," 8","  57.3"," 8","1010.1"," 8","998.2"," 8","999.9"," 0","  7.5"," 8","  9.9","999.9","  83.8"," ","  60.3"," "," 0.00","I","999.9","000000"
"68927099999","2020-02-26","-34.3666666","21.3833333","103.0","STILBAAI, SF","  70.1"," 8","  61.9"," 8","1010.8"," 8","998.9"," 8","999.9"," 0","  7.0"," 8"," 12.0","999.9","  83.8"," ","  62.6"," "," 0.00","I","999.9","000000"
"68927099999","2020-02-27","-34.3666666","21.3833333","103.0","STILBAAI, SF","  67.2"," 8","  60.3"," 8","1019.0"," 8","006.9"," 8","999.9"," 0","  8.7"," 8"," 13.0","999.9","  80.1"," ","  59.7"," "," 0.01","G","999.9","000000"
"68927099999","2020-02-28","-34.3666666","21.3833333","103.0","STILBAAI, SF","  65.4"," 8","  57.1"," 8","1026.4"," 8","014.1"," 8","999.9"," 0"," 10.1"," 8"," 15.9","999.9","  78.8"," ","  60.3"," "," 0.04","G","999.9","000000"
"68927099999","2020-02-29","-34.3666666","21.3833333","103.0","STILBAAI, SF","  65.3"," 8","  55.5"," 8","1021.4"," 8","009.2"," 8","999.9"," 0"," 10.4"," 8"," 17.1","999.9","  75.6"," ","  58.3"," "," 0.02","G","999.9","000000"
"68927099999","2020-03-01","-34.3666666","21.3833333","103.0","STILBAAI, SF","  67.1"," 8","  60.7"," 8","1014.2"," 8","002.2"," 8","999.9"," 0","  6.4"," 8","  9.9","999.9","  79.7"," ","  54.0"," "," 0.00","G","999.9","000000"
"68927099999","2020-03-02","-34.3666666","21.3833333","103.0","STILBAAI, SF","  71.6"," 8","  65.7"," 8","1016.7"," 8","004.7"," 8","999.9"," 0","  5.1"," 8","  8.9","999.9","  84.0"," ","  63.1"," "," 0.00","I","999.9","000000"
"68927099999","2020-03-03","-34.3666666","21.3833333","103.0","STILBAAI, SF","  67.9"," 8","  63.7"," 8","1014.9"," 8","002.9"," 8","999.9"," 0","  4.6"," 8","  9.9","999.9","  84.0"," ","  59.9"," "," 0.00","I","999.9","000000"
